t1,t2,rho_total,rho_bcc,rho_iwp,w_union,w_phase,overlap,active_elements
-1.95,-4.191666666666666,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-4.133333333333333,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-4.075,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-4.016666666666667,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.9583333333333335,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.9,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.841666666666667,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.783333333333333,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.725,0.31640625,0.26171875,0.2578125,0.8271604938271605,0.5037593984962406,0.203125,10368
-1.95,-3.6666666666666665,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.6083333333333334,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.55,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.4916666666666667,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.433333333333333,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.375,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.3166666666666664,0.31640625,0.26171875,0.26171875,0.8271604938271605,0.5,0.20703125,10368
-1.95,-3.2583333333333333,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-3.2,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-3.1416666666666666,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-3.0833333333333335,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-3.025,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.966666666666667,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.908333333333333,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.85,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.7916666666666665,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.7333333333333334,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.675,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.6166666666666667,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.558333333333333,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.5,0.32421875,0.26171875,0.26953125,0.8072289156626506,0.49264705882352944,0.20703125,10624
-1.95,-2.4416666666666664,0.33203125,0.26171875,0.27734375,0.788235294117647,0.4855072463768116,0.20703125,10880
-1.95,-2.3833333333333333,0.33203125,0.26171875,0.27734375,0.788235294117647,0.4855072463768116,0.20703125,10880
-1.95,-2.3249999999999997,0.33203125,0.26171875,0.27734375,0.788235294117647,0.4855072463768116,0.20703125,10880
-1.95,-2.2666666666666666,0.33203125,0.26171875,0.27734375,0.788235294117647,0.4855072463768116,0.20703125,10880
-1.95,-2.2083333333333335,0.33203125,0.26171875,0.29296875,0.788235294117647,0.47183098591549294,0.22265625,10880
-1.95,-2.15,0.33203125,0.26171875,0.29296875,0.788235294117647,0.47183098591549294,0.22265625,10880
-1.95,-2.091666666666667,0.33203125,0.26171875,0.29296875,0.788235294117647,0.47183098591549294,0.22265625,10880
-1.95,-2.033333333333333,0.33984375,0.26171875,0.30078125,0.7701149425287356,0.4652777777777778,0.22265625,11136
-1.95,-1.9749999999999996,0.33984375,0.26171875,0.30078125,0.7701149425287356,0.4652777777777778,0.22265625,11136
-1.95,-1.916666666666667,0.34765625,0.26171875,0.30859375,0.7528089887640449,0.4589041095890411,0.22265625,11392
-1.95,-1.8583333333333334,0.34765625,0.26171875,0.30859375,0.7528089887640449,0.4589041095890411,0.22265625,11392
-1.95,-1.7999999999999998,0.34765625,0.26171875,0.30859375,0.7528089887640449,0.4589041095890411,0.22265625,11392
-1.95,-1.7416666666666663,0.34765625,0.26171875,0.30859375,0.7528089887640449,0.4589041095890411,0.22265625,11392
-1.95,-1.6833333333333336,0.34765625,0.26171875,0.3125,0.7528089887640449,0.4557823129251701,0.2265625,11392
-1.95,-1.625,0.34765625,0.26171875,0.3125,0.7528089887640449,0.4557823129251701,0.2265625,11392
-1.95,-1.5666666666666664,0.34765625,0.26171875,0.3125,0.7528089887640449,0.4557823129251701,0.2265625,11392
-1.95,-1.5083333333333329,0.35546875,0.26171875,0.3203125,0.7362637362637363,0.44966442953020136,0.2265625,11648
-1.95,-1.4500000000000002,0.35546875,0.26171875,0.3203125,0.7362637362637363,0.44966442953020136,0.2265625,11648
-1.95,-1.3916666666666666,0.35546875,0.26171875,0.3203125,0.7362637362637363,0.44966442953020136,0.2265625,11648
-1.95,-1.333333333333333,0.36328125,0.26171875,0.328125,0.7204301075268817,0.44370860927152317,0.2265625,11904
-1.95,-1.2750000000000004,0.36328125,0.26171875,0.328125,0.7204301075268817,0.44370860927152317,0.2265625,11904
-1.95,-1.2166666666666668,0.36328125,0.26171875,0.3359375,0.7204301075268817,0.43790849673202614,0.234375,11904
-1.95,-1.1583333333333332,0.36328125,0.26171875,0.3359375,0.7204301075268817,0.43790849673202614,0.234375,11904
