case_name,target_rho,target_w,actual_rho_lookup,actual_w_lookup,actual_rho_rve,actual_w_rve,rho_bcc_rve,rho_iwp_rve,t1,t2,n_rve,dx,D1111,D1122,D1212,E_eff,G_eff,nu_eff,A_zener,runtime_s,status,error_message
rho0.25_w0.6,0.25,0.6,0.29296875,0.5733333333333334,0.2951388888888889,0.5764705882352942,0.1701388888888889,0.2650462962962963,-2.35,-3.0,24,0.8333333333333334,116.3588724965016,66.71178987297837,74.42087489332089,67.73870746891973,74.42087489332089,0.36440459115365065,2.997995892635174,40.85551929473877,ok,
rho0.25_w0.8,0.25,0.8,0.29296875,0.5733333333333334,0.2951388888888889,0.5764705882352942,0.1701388888888889,0.2650462962962963,-2.35,-3.0,24,0.8333333333333334,116.3588724965016,66.71178987297837,74.42087489332089,67.73870746891973,74.42087489332089,0.36440459115365065,2.997995892635174,38.359920024871826,ok,
rho0.25_w1.0,0.25,1.0,0.32421875,0.8072289156626506,0.31828703703703703,0.7527272727272728,0.23958333333333334,0.2650462962962963,-1.95,-3.0,24,0.8333333333333334,199.19523885649136,101.14176812372479,108.00499994156235,131.0740481843931,108.00499994156235,0.33676092447171263,2.202981682023628,58.384392499923706,ok,
rho0.30_w0.0,0.3,0.0,0.296875,0.05180921052631579,0.2915943287037037,0.0208385016125031,0.006076388888888889,0.29050925925925924,-3.0,-2.2,24,0.8333333333333334,9.030869764828319,5.731868539020679,7.253454013404269,4.579891054455982,7.253454013404269,0.388265945046675,4.397363636400909,44.53443217277527,ok,
rho0.30_w0.2,0.3,0.2,0.296875,0.21052631578947367,0.2986111111111111,0.24418604651162792,0.07291666666666667,0.29050925925925924,-2.8,-2.2,24,0.8333333333333334,57.990559037100184,33.6931327924478,40.23435735224232,33.226565033018026,40.23435735224232,0.367493194483134,3.3118205152364637,60.377235412597656,ok,
rho0.30_w0.4,0.3,0.4,0.30078125,0.4025974025974026,0.29398148148148145,0.3897637795275591,0.11458333333333333,0.2847222222222222,-2.65,-2.45,24,0.8333333333333334,57.97632866519026,33.69207122450645,40.18568249370574,33.209764292666414,40.18568249370574,0.3675429184435165,3.309607682414206,51.519856691360474,ok,
rho0.30_w0.6,0.3,0.6,0.30078125,0.5584415584415584,0.3101851851851852,0.5485074626865672,0.1701388888888889,0.2847222222222222,-2.35,-2.45,24,0.8333333333333334,131.33294786801352,71.94973010344889,80.51221806162961,80.40127268921769,80.51221806162961,0.35393930669070317,2.711615203501928,61.50089454650879,ok,
rho0.30_w0.8,0.3,0.8,0.32421875,0.8072289156626506,0.31828703703703703,0.7527272727272728,0.23958333333333334,0.2650462962962963,-1.95,-3.0,24,0.8333333333333334,199.19523885649136,101.14176812372479,108.00499994156235,131.0740481843931,108.00499994156235,0.33676092447171263,2.202981682023628,55.35000395774841,ok,
rho0.30_w1.0,0.3,1.0,0.32421875,0.8072289156626506,0.31828703703703703,0.7527272727272728,0.23958333333333334,0.2650462962962963,-1.95,-3.0,24,0.8333333333333334,199.19523885649136,101.14176812372479,108.00499994156235,131.0740481843931,108.00499994156235,0.33676092447171263,2.202981682023628,53.97595238685608,ok,
rho0.35_w0.0,0.35,0.0,0.34765625,0.04424157303370786,0.36921296296296297,0.016457680250783698,0.006076388888888889,0.36921296296296297,-3.0,-0.75,24,0.8333333333333334,140.62394918100318,45.4068578523502,60.59946298169094,118.4579136420198,60.59946298169094,0.24408246449314833,1.2728694425777989,67.57344770431519,ok,
rho0.35_w0.2,0.35,0.2,0.34765625,0.1797752808988764,0.36921296296296297,0.1974921630094044,0.07291666666666667,0.36921296296296297,-2.8,-0.75,24,0.8333333333333334,140.62394918100318,45.4068578523502,60.59946298169094,118.4579136420198,60.59946298169094,0.24408246449314833,1.2728694425777989,65.7997477054596,ok,
rho0.35_w0.4,0.35,0.4,0.34765625,0.4157303370786517,0.3460648148148148,0.3511705685618729,0.12152777777777778,0.33564814814814814,-2.6,-1.2,24,0.8333333333333334,156.22533818706103,62.04332500062045,76.2242593523727,120.95344783949726,76.2242593523727,0.28425209599268764,1.6186585266866378,68.57354927062988,ok,
rho0.35_w0.6,0.35,0.6,0.34765625,0.6179775280898876,0.33101851851851855,0.6188811188811189,0.2048611111111111,0.30092592592592593,-2.15,-1.95,24,0.8333333333333334,189.70125665159446,81.49002558746189,93.68120285855076,140.7275269990944,93.68120285855076,0.3004891046446989,1.7314506440284292,108.72327661514282,ok,
rho0.35_w0.8,0.35,0.8,0.34765625,0.8202247191011236,0.32523148148148145,0.8007117437722421,0.2604166666666667,0.2650462962962963,-1.8499999999999999,-3.0,24,0.8333333333333334,216.1235869763923,108.96116026757616,115.25474503329369,143.08088320446566,115.25474503329369,0.3351777073250483,2.1510290233808567,52.578831911087036,ok,
rho0.35_w1.0,0.35,1.0,0.35546875,0.8681318681318682,0.3287037037037037,0.8450704225352113,0.2777777777777778,0.2650462962962963,-1.75,-3.0,24,0.8333333333333334,228.37611088151183,116.37566988065834,120.16573840661312,149.80771880399612,120.16573840661312,0.3375636512257526,2.145808308124383,54.92259383201599,ok,
rho0.40_w0.0,0.4,0.0,0.39453125,0.038985148514851485,0.4224537037037037,0.014383561643835616,0.006076388888888889,0.4224537037037037,-3.0,-0.1499999999999999,24,0.8333333333333334,349.17655361491086,118.62533936091654,143.00360065106486,289.0144578654618,143.00360065106486,0.253580289310728,1.2405365212565764,199.57376289367676,ok,
rho0.40_w0.2,0.4,0.2,0.39453125,0.15841584158415842,0.4224537037037037,0.1726027397260274,0.07291666666666667,0.4224537037037037,-2.8,-0.1499999999999999,24,0.8333333333333334,349.17655361491086,118.62533936091654,143.00360065106486,289.0144578654618,143.00360065106486,0.253580289310728,1.2405365212565764,206.6089107990265,ok,
rho0.40_w0.4,0.4,0.4,0.39453125,0.42574257425742573,0.4224537037037037,0.40273972602739727,0.1701388888888889,0.4224537037037037,-2.35,-0.1499999999999999,24,0.8333333333333334,349.17655361491086,118.62533936091654,143.00360065106486,289.0144578654618,143.00360065106486,0.253580289310728,1.2405365212565764,204.68685245513916,ok,
rho0.40_w0.6,0.4,0.6,0.39453125,0.6039603960396039,0.4224537037037037,0.5342465753424658,0.22569444444444445,0.41550925925925924,-2.05,-0.19999999999999973,24,0.8333333333333334,355.6952061254091,123.70161933623831,147.067150582105,291.8562743107394,147.067150582105,0.25803595845074,1.2678553111535404,123.96656656265259,ok,
